Left,ShoulderPos:(0.01, 0.63, 0.02),Plane:XZ,Radius:0.35
0.00000,1,normal,0.00000,0.00000,0.00000,
0.00333,1,normal,0.00000,0.00000,0.00000,
0.00666,1,normal,0.00000,0.00000,0.00000,
0.00873,1,normal,0.00000,0.00000,0.00000,
0.01111,1,normal,0.00000,0.00000,0.00000,
0.01311,1,normal,0.00000,0.00000,0.00000,
0.01499,1,normal,0.00000,0.00000,0.00000,
0.01681,1,normal,0.00000,0.00000,0.00000,
0.01879,1,normal,0.00000,0.00000,0.00000,
0.02072,1,normal,0.00000,0.00000,0.00000,
0.02260,1,normal,0.00000,0.00000,0.00000,
0.02450,1,normal,0.00000,0.00000,0.00000,
0.02640,1,normal,0.00000,0.00000,0.00000,
0.02832,1,normal,0.00000,0.00000,0.00000,
0.03067,1,normal,0.00000,0.00000,0.00000,
0.03249,1,normal,0.00000,0.00000,0.00000,
0.03430,1,normal,0.00000,0.00000,0.00000,
0.03620,1,normal,0.00000,0.00000,0.00000,
0.03809,1,normal,0.00000,0.00000,0.00000,
0.03995,1,normal,0.00000,0.00000,0.00000,
0.04180,1,normal,0.00000,0.00000,0.00000,
0.04380,1,normal,0.00000,0.00000,0.00000,
0.04582,1,normal,0.00000,0.00000,0.00000,
0.04847,1,normal,0.00000,0.00000,0.00000,
0.05238,1,normal,0.00000,0.00000,0.00000,
0.05435,1,normal,0.00000,0.00000,0.00000,
0.05614,1,normal,0.00000,0.00000,0.00000,
0.05784,1,normal,0.00000,0.00000,0.00000,
0.05955,1,normal,0.00000,0.00000,0.00000,
0.06135,1,normal,0.00000,0.00000,0.00000,
0.06350,1,normal,0.00000,0.00000,0.00000,
0.07002,1,normal,0.00000,0.00000,0.00000,
0.07288,1,normal,0.00000,0.00000,0.00000,
0.07557,1,normal,0.00000,0.00000,0.00000,
0.07771,1,normal,0.00000,0.00000,0.00000,
0.07995,1,normal,0.00000,0.00000,0.00000,
0.08205,1,normal,0.00000,0.00000,0.00000,
0.08396,1,normal,0.00000,0.00000,0.00000,
0.08586,1,normal,0.00000,0.00000,0.00000,
0.08774,1,normal,0.00000,0.00000,0.00000,
0.08977,1,normal,0.00000,0.00000,0.00000,
0.09195,1,normal,0.00000,0.00000,0.00000,
0.09384,1,normal,0.00000,0.00000,0.00000,
0.09591,1,normal,0.00000,0.00000,0.00000,
0.09836,1,normal,0.00000,0.00000,0.00000,
0.10025,1,normal,0.00000,0.00000,0.00000,
0.10214,1,normal,0.00000,0.00000,0.00000,
0.10394,1,normal,0.00000,0.00000,0.00000,
0.10585,1,normal,0.00000,0.00000,0.00000,
0.10776,1,normal,0.00000,0.00000,0.00000,
0.10964,1,normal,0.00000,0.00000,0.00000,
0.11176,1,normal,0.00000,0.00000,0.00000,
0.11401,1,normal,0.00000,0.00000,0.00000,
0.11585,1,normal,0.00000,0.00000,0.00000,
0.11754,1,normal,0.00000,0.00000,0.00000,
0.11947,1,normal,0.00000,0.00000,0.00000,
