Right,ShoulderPos:(-0.01, 0.63, 0.02),Plane:XY,Radius:0.35
2.39042,3,normal,0.00000,0.00000,0.00000,
2.39319,3,normal,0.00000,0.00000,0.00000,
2.39641,3,normal,0.00000,0.00000,0.00000,
2.39914,3,normal,0.00000,0.00000,0.00000,
2.40125,3,normal,0.00000,0.00000,0.00000,
2.40318,3,normal,0.00000,0.00000,0.00000,
2.40513,3,normal,0.00000,0.00000,0.00000,
2.40703,3,normal,0.00000,0.00000,0.00000,
2.40893,3,normal,0.00000,0.00000,0.00000,
2.41089,3,normal,0.00000,0.00000,0.00000,
2.41296,3,normal,0.00000,0.00000,0.00000,
2.41486,3,normal,0.00000,0.00000,0.00000,
2.41685,3,normal,0.00000,0.00000,0.00000,
2.41913,3,normal,0.00000,0.00000,0.00000,
2.42103,3,normal,0.00000,0.00000,0.00000,
2.42304,3,normal,0.00000,0.00000,0.00000,
2.42549,3,normal,0.00000,0.00000,0.00000,
2.42773,3,normal,0.00000,0.00000,0.00000,
2.42958,3,normal,0.00000,0.00000,0.00000,
2.43139,3,normal,0.00000,0.00000,0.00000,
2.43320,3,normal,0.00000,0.00000,0.00000,
2.43499,3,normal,0.00000,0.00000,0.00000,
2.43679,3,normal,0.00000,0.00000,0.00000,
2.43868,3,normal,0.00000,0.00000,0.00000,
2.44039,3,normal,0.00000,0.00000,0.00000,
2.44208,3,normal,0.00000,0.00000,0.00000,
2.44379,3,normal,0.00000,0.00000,0.00000,
2.44549,3,normal,0.00000,0.00000,0.00000,
2.44721,3,normal,0.00000,0.00000,0.00000,
2.44888,3,normal,0.00000,0.00000,0.00000,
2.45058,3,normal,0.00000,0.00000,0.00000,
2.45229,3,normal,0.00000,0.00000,0.00000,
2.45400,3,normal,0.00000,0.00000,0.00000,
2.45569,3,normal,0.00000,0.00000,0.00000,
2.45780,3,normal,0.00000,0.00000,0.00000,
2.45949,3,normal,0.00000,0.00000,0.00000,
2.46121,3,normal,0.00000,0.00000,0.00000,
2.46288,3,normal,0.00000,0.00000,0.00000,
2.46458,3,normal,0.00000,0.00000,0.00000,
2.46629,3,normal,0.00000,0.00000,0.00000,
2.46800,3,normal,0.00000,0.00000,0.00000,
2.46960,3,normal,0.00000,0.00000,0.00000,
2.47131,3,normal,0.00000,0.00000,0.00000,
2.47298,3,normal,0.00000,0.00000,0.00000,
2.47468,3,normal,0.00000,0.00000,0.00000,
2.47627,3,normal,0.00000,0.00000,0.00000,
2.48357,3,normal,0.00000,0.00000,0.00000,
2.48584,3,normal,0.00000,0.00000,0.00000,
2.48769,3,normal,0.00000,0.00000,0.00000,
2.48948,3,normal,0.00000,0.00000,0.00000,
2.49119,3,normal,0.00000,0.00000,0.00000,
2.49290,3,normal,0.00000,0.00000,0.00000,
2.49469,3,normal,0.00000,0.00000,0.00000,
2.49638,3,normal,0.00000,0.00000,0.00000,
2.49829,3,normal,0.00000,0.00000,0.00000,
2.49998,3,normal,0.00000,0.00000,0.00000,
2.50170,3,normal,0.00000,0.00000,0.00000,
2.50350,3,normal,0.00000,0.00000,0.00000,
2.50518,3,normal,0.00000,0.00000,0.00000,
2.50689,3,normal,0.00000,0.00000,0.00000,
2.50858,3,normal,0.00000,0.00000,0.00000,
2.51037,3,normal,0.00000,0.00000,0.00000,
2.51207,3,normal,0.00000,0.00000,0.00000,
2.51381,3,normal,0.00000,0.00000,0.00000,
2.51558,3,normal,0.00000,0.00000,0.00000,
2.51748,3,normal,0.00000,0.00000,0.00000,
2.51940,3,normal,0.00000,0.00000,0.00000,
2.52109,3,normal,0.00000,0.00000,0.00000,
2.52278,3,normal,0.00000,0.00000,0.00000,
2.52451,3,normal,0.00000,0.00000,0.00000,
2.52640,3,normal,0.00000,0.00000,0.00000,
2.52839,3,normal,0.00000,0.00000,0.00000,
2.53041,3,normal,0.00000,0.00000,0.00000,
2.53251,3,normal,0.00000,0.00000,0.00000,
2.53462,3,normal,0.00000,0.00000,0.00000,
2.53669,3,normal,0.00000,0.00000,0.00000,
2.53900,3,normal,0.00000,0.00000,0.00000,
2.54100,3,normal,0.00000,0.00000,0.00000,
2.54310,3,normal,0.00000,0.00000,0.00000,
2.54500,3,normal,0.00000,0.00000,0.00000,
2.54700,3,normal,0.00000,0.00000,0.00000,
2.54911,3,normal,0.00000,0.00000,0.00000,
2.55100,3,normal,0.00000,0.00000,0.00000,
2.55290,3,normal,0.00000,0.00000,0.00000,
2.55523,3,normal,0.00000,0.00000,0.00000,
2.55789,3,normal,0.00000,0.00000,0.00000,
2.55978,3,normal,0.00000,0.00000,0.00000,
2.56183,3,normal,0.00000,0.00000,0.00000,
2.56389,3,normal,0.00000,0.00000,0.00000,
2.56591,3,normal,0.00000,0.00000,0.00000,
2.56778,3,normal,0.00000,0.00000,0.00000,
2.56968,3,normal,0.00000,0.00000,0.00000,
2.57180,3,normal,0.00000,0.00000,0.00000,
2.57381,3,normal,0.00000,0.00000,0.00000,
2.57568,3,normal,0.00000,0.00000,0.00000,
2.57791,3,normal,0.00000,0.00000,0.00000,
2.58010,3,normal,0.00000,0.00000,0.00000,
2.58209,3,normal,0.00000,0.00000,0.00000,
2.58409,3,normal,0.00000,0.00000,0.00000,
2.58609,3,normal,0.00000,0.00000,0.00000,
2.58811,3,normal,0.00000,0.00000,0.00000,
2.59039,3,normal,0.00000,0.00000,0.00000,
2.59248,3,normal,0.00000,0.00000,0.00000,
2.59492,3,normal,0.00000,0.00000,0.00000,
2.59688,3,normal,0.00000,0.00000,0.00000,
2.59974,3,normal,0.00000,0.00000,0.00000,
2.60179,3,normal,0.00000,0.00000,0.00000,
2.60369,3,normal,0.00000,0.00000,0.00000,
2.61069,3,normal,0.00000,0.00000,0.00000,
2.61290,3,normal,0.00000,0.00000,0.00000,
2.61479,3,normal,0.00000,0.00000,0.00000,
2.61658,3,normal,0.00000,0.00000,0.00000,
2.61868,3,normal,0.00000,0.00000,0.00000,
2.62039,3,normal,0.00000,0.00000,0.00000,
2.62228,3,normal,0.00000,0.00000,0.00000,
2.62410,3,normal,0.00000,0.00000,0.00000,
2.62591,3,normal,0.00000,0.00000,0.00000,
2.62767,3,normal,0.00000,0.00000,0.00000,
2.62950,3,normal,0.00000,0.00000,0.00000,
2.63139,3,normal,0.00000,0.00000,0.00000,
2.63320,3,normal,0.00000,0.00000,0.00000,
2.63500,3,normal,0.00000,0.00000,0.00000,
2.63669,3,normal,0.00000,0.00000,0.00000,
2.63910,3,normal,0.00000,0.00000,0.00000,
2.64099,3,normal,0.00000,0.00000,0.00000,
2.64285,3,normal,0.00000,0.00000,0.00000,
2.64458,3,normal,0.00000,0.00000,0.00000,
2.64630,3,normal,0.00000,0.00000,0.00000,
2.64799,3,normal,0.00000,0.00000,0.00000,
2.64978,3,normal,0.00000,0.00000,0.00000,
2.65149,3,normal,0.00000,0.00000,0.00000,
2.65318,3,normal,0.00000,0.00000,0.00000,
2.65489,3,normal,0.00000,0.00000,0.00000,
