Right,ShoulderPos:(-0.01, 0.63, 0.02),Plane:YZ,Radius:0.35
10.79076,1,normal,0.00000,0.00000,0.00000,
10.79399,1,normal,0.00000,0.00000,0.00000,
10.80038,1,normal,0.00000,0.00000,0.00000,
10.80277,1,normal,0.00000,0.00000,0.00000,
10.80497,1,normal,0.00000,0.00000,0.00000,
10.80706,1,normal,0.00000,0.00000,0.00000,
10.80936,1,normal,0.00000,0.00000,0.00000,
10.81159,1,normal,0.00000,0.00000,0.00000,
10.81416,1,normal,0.00000,0.00000,0.00000,
10.81627,1,normal,0.00000,0.00000,0.00000,
10.81848,1,normal,0.00000,0.00000,0.00000,
10.82045,1,normal,0.00000,0.00000,0.00000,
10.82236,1,normal,0.00000,0.00000,0.00000,
10.82448,1,normal,0.00000,0.00000,0.00000,
10.82683,1,normal,0.00000,0.00000,0.00000,
10.82905,1,normal,0.00000,0.00000,0.00000,
10.83128,1,normal,0.00000,0.00000,0.00000,
10.83356,1,normal,0.00000,0.00000,0.00000,
10.83544,1,normal,0.00000,0.00000,0.00000,
10.83765,1,normal,0.00000,0.00000,0.00000,
10.83964,1,normal,0.00000,0.00000,0.00000,
10.84154,1,normal,0.00000,0.00000,0.00000,
10.84366,1,normal,0.00000,0.00000,0.00000,
10.84656,1,normal,0.00000,0.00000,0.00000,
10.84867,1,normal,0.00000,0.00000,0.00000,
10.85105,1,normal,0.00000,0.00000,0.00000,
10.85423,1,normal,0.00000,0.00000,0.00000,
10.85645,1,normal,0.00000,0.00000,0.00000,
10.85854,1,normal,0.00000,0.00000,0.00000,
10.86080,1,normal,0.00000,0.00000,0.00000,
10.86294,1,normal,0.00000,0.00000,0.00000,
10.86503,1,normal,0.00000,0.00000,0.00000,
10.86695,1,normal,0.00000,0.00000,0.00000,
10.86885,1,normal,0.00000,0.00000,0.00000,
10.87106,1,normal,0.00000,0.00000,0.00000,
10.87362,1,normal,0.00000,0.00000,0.00000,
10.87579,1,normal,0.00000,0.00000,0.00000,
10.87796,1,normal,0.00000,0.00000,0.00000,
10.88014,1,normal,0.00000,0.00000,0.00000,
10.88215,1,normal,0.00000,0.00000,0.00000,
10.88405,1,normal,0.00000,0.00000,0.00000,
10.88617,1,normal,0.00000,0.00000,0.00000,
10.88823,1,normal,0.00000,0.00000,0.00000,
10.89014,1,normal,0.00000,0.00000,0.00000,
10.89254,1,normal,0.00000,0.00000,0.00000,
10.89509,1,normal,0.00000,0.00000,0.00000,
10.89707,1,normal,0.00000,0.00000,0.00000,
10.89894,1,normal,0.00000,0.00000,0.00000,
10.90093,1,normal,0.00000,0.00000,0.00000,
10.90284,1,normal,0.00000,0.00000,0.00000,
10.90495,1,normal,0.00000,0.00000,0.00000,
10.90756,1,normal,0.00000,0.00000,0.00000,
10.90966,1,normal,0.00000,0.00000,0.00000,
10.91180,1,normal,0.00000,0.00000,0.00000,
10.91476,1,normal,0.00000,0.00000,0.00000,
10.91755,1,normal,0.00000,0.00000,0.00000,
10.92016,1,normal,0.00000,0.00000,0.00000,
10.92220,1,normal,0.00000,0.00000,0.00000,
10.92410,1,normal,0.00000,0.00000,0.00000,
10.92631,1,normal,0.00000,0.00000,0.00000,
10.93327,1,normal,0.00000,0.00000,0.00000,
10.93591,1,normal,0.00000,0.00000,0.00000,
10.93809,1,normal,0.00000,0.00000,0.00000,
10.93990,1,normal,0.00000,0.00000,0.00000,
10.94171,1,normal,0.00000,0.00000,0.00000,
10.94351,1,normal,0.00000,0.00000,0.00000,
10.94570,1,normal,0.00000,0.00000,0.00000,
10.94760,1,normal,0.00000,0.00000,0.00000,
10.94950,1,normal,0.00000,0.00000,0.00000,
10.95119,1,normal,0.00000,0.00000,0.00000,
10.95340,1,normal,0.00000,0.00000,0.00000,
10.95519,1,normal,0.00000,0.00000,0.00000,
10.95688,1,normal,0.00000,0.00000,0.00000,
10.95858,1,normal,0.00000,0.00000,0.00000,
10.96039,1,normal,0.00000,0.00000,0.00000,
10.96220,1,normal,0.00000,0.00000,0.00000,
10.96391,1,normal,0.00000,0.00000,0.00000,
10.96571,1,normal,0.00000,0.00000,0.00000,
10.96759,1,normal,0.00000,0.00000,0.00000,
10.96941,1,normal,0.00000,0.00000,0.00000,
10.97131,1,normal,0.00000,0.00000,0.00000,
10.97348,1,normal,0.00000,0.00000,0.00000,
10.97532,1,normal,0.00000,0.00000,0.00000,
10.97699,1,normal,0.00000,0.00000,0.00000,
10.97889,1,normal,0.00000,0.00000,0.00000,
10.98059,1,normal,0.00000,0.00000,0.00000,
10.98229,1,normal,0.00000,0.00000,0.00000,
10.98399,1,normal,0.00000,0.00000,0.00000,
