Left,ShoulderPos:(0.01, 0.63, 0.02),Plane:YZ,Radius:0.35
4.79889,3,normal,0.00000,0.00000,0.00000,
4.80171,3,normal,0.00000,0.00000,0.00000,
4.80522,3,normal,0.00000,0.00000,0.00000,
4.80746,3,normal,0.00000,0.00000,0.00000,
4.80986,3,normal,0.00000,0.00000,0.00000,
4.81188,3,normal,0.00000,0.00000,0.00000,
4.81386,3,normal,0.00000,0.00000,0.00000,
4.81576,3,normal,0.00000,0.00000,0.00000,
4.81775,3,normal,0.00000,0.00000,0.00000,
4.81966,3,normal,0.00000,0.00000,0.00000,
4.82155,3,normal,0.00000,0.00000,0.00000,
4.82336,3,normal,0.00000,0.00000,0.00000,
4.82515,3,normal,0.00000,0.00000,0.00000,
4.82695,3,normal,0.00000,0.00000,0.00000,
4.82905,3,normal,0.00000,0.00000,0.00000,
4.83085,3,normal,0.00000,0.00000,0.00000,
4.83265,3,normal,0.00000,0.00000,0.00000,
4.83477,3,normal,0.00000,0.00000,0.00000,
4.83721,3,normal,0.00000,0.00000,0.00000,
4.83950,3,normal,0.00000,0.00000,0.00000,
4.84131,3,normal,0.00000,0.00000,0.00000,
4.84310,3,normal,0.00000,0.00000,0.00000,
4.84492,3,normal,0.00000,0.00000,0.00000,
4.84664,3,normal,0.00000,0.00000,0.00000,
4.84891,3,normal,0.00000,0.00000,0.00000,
4.85081,3,normal,0.00000,0.00000,0.00000,
4.85272,3,normal,0.00000,0.00000,0.00000,
4.85461,3,normal,0.00000,0.00000,0.00000,
4.85642,3,normal,0.00000,0.00000,0.00000,
4.85821,3,normal,0.00000,0.00000,0.00000,
4.86001,3,normal,0.00000,0.00000,0.00000,
4.86181,3,normal,0.00000,0.00000,0.00000,
4.86366,3,normal,0.00000,0.00000,0.00000,
4.86550,3,normal,0.00000,0.00000,0.00000,
4.86732,3,normal,0.00000,0.00000,0.00000,
4.86930,3,normal,0.00000,0.00000,0.00000,
4.87449,3,normal,0.00000,0.00000,0.00000,
4.87641,3,normal,0.00000,0.00000,0.00000,
4.87822,3,normal,0.00000,0.00000,0.00000,
4.88000,3,normal,0.00000,0.00000,0.00000,
4.88170,3,normal,0.00000,0.00000,0.00000,
4.88342,3,normal,0.00000,0.00000,0.00000,
4.88509,3,normal,0.00000,0.00000,0.00000,
4.88691,3,normal,0.00000,0.00000,0.00000,
4.88902,3,normal,0.00000,0.00000,0.00000,
4.89081,3,normal,0.00000,0.00000,0.00000,
4.89261,3,normal,0.00000,0.00000,0.00000,
4.89449,3,normal,0.00000,0.00000,0.00000,
4.89630,3,normal,0.00000,0.00000,0.00000,
4.89811,3,normal,0.00000,0.00000,0.00000,
4.89993,3,normal,0.00000,0.00000,0.00000,
4.90172,3,normal,0.00000,0.00000,0.00000,
4.90351,3,normal,0.00000,0.00000,0.00000,
4.90530,3,normal,0.00000,0.00000,0.00000,
4.90702,3,normal,0.00000,0.00000,0.00000,
4.90921,3,normal,0.00000,0.00000,0.00000,
4.91091,3,normal,0.00000,0.00000,0.00000,
4.91276,3,normal,0.00000,0.00000,0.00000,
4.91450,3,normal,0.00000,0.00000,0.00000,
4.91621,3,normal,0.00000,0.00000,0.00000,
4.91801,3,normal,0.00000,0.00000,0.00000,
4.91981,3,normal,0.00000,0.00000,0.00000,
4.92164,3,normal,0.00000,0.00000,0.00000,
4.92361,3,normal,0.00000,0.00000,0.00000,
4.92541,3,normal,0.00000,0.00000,0.00000,
4.92721,3,normal,0.00000,0.00000,0.00000,
4.92968,3,normal,0.00000,0.00000,0.00000,
4.93522,3,normal,0.00000,0.00000,0.00000,
4.93805,3,normal,0.00000,0.00000,0.00000,
4.93980,3,normal,0.00000,0.00000,0.00000,
4.94160,3,normal,0.00000,0.00000,0.00000,
4.94361,3,normal,0.00000,0.00000,0.00000,
4.94554,3,normal,0.00000,0.00000,0.00000,
4.94771,3,normal,0.00000,0.00000,0.00000,
4.95052,3,normal,0.00000,0.00000,0.00000,
4.95262,3,normal,0.00000,0.00000,0.00000,
4.95468,3,normal,0.00000,0.00000,0.00000,
4.95674,3,normal,0.00000,0.00000,0.00000,
4.95882,3,normal,0.00000,0.00000,0.00000,
4.96111,3,normal,0.00000,0.00000,0.00000,
4.96365,3,normal,0.00000,0.00000,0.00000,
4.96630,3,normal,0.00000,0.00000,0.00000,
4.96841,3,normal,0.00000,0.00000,0.00000,
4.97124,3,normal,0.00000,0.00000,0.00000,
4.97360,3,normal,0.00000,0.00000,0.00000,
4.97578,3,normal,0.00000,0.00000,0.00000,
4.97821,3,normal,0.00000,0.00000,0.00000,
4.98067,3,normal,0.00000,0.00000,0.00000,
4.98312,3,normal,0.00000,0.00000,0.00000,
4.98547,3,normal,0.00000,0.00000,0.00000,
4.98805,3,normal,0.00000,0.00000,0.00000,
4.99062,3,normal,0.00000,0.00000,0.00000,
4.99289,3,normal,0.00000,0.00000,0.00000,
4.99554,3,normal,0.00000,0.00000,0.00000,
4.99803,3,normal,0.00000,0.00000,0.00000,
5.01002,3,normal,0.00000,0.00000,0.00000,
5.01325,3,normal,0.00000,0.00000,0.00000,
5.01552,3,normal,0.00000,0.00000,0.00000,
5.01801,3,normal,0.00000,0.00000,0.00000,
5.01992,3,normal,0.00000,0.00000,0.00000,
5.02184,3,normal,0.00000,0.00000,0.00000,
5.02401,3,normal,0.00000,0.00000,0.00000,
5.02590,3,normal,0.00000,0.00000,0.00000,
5.02782,3,normal,0.00000,0.00000,0.00000,
5.03006,3,normal,0.00000,0.00000,0.00000,
5.03224,3,normal,0.00000,0.00000,0.00000,
5.03442,3,normal,0.00000,0.00000,0.00000,
5.03651,3,normal,0.00000,0.00000,0.00000,
5.03841,3,normal,0.00000,0.00000,0.00000,
5.04042,3,normal,0.00000,0.00000,0.00000,
5.04255,3,normal,0.00000,0.00000,0.00000,
5.04440,3,normal,0.00000,0.00000,0.00000,
5.04628,3,normal,0.00000,0.00000,0.00000,
5.04811,3,normal,0.00000,0.00000,0.00000,
5.05022,3,normal,0.00000,0.00000,0.00000,
5.05211,3,normal,0.00000,0.00000,0.00000,
5.05412,3,normal,0.00000,0.00000,0.00000,
5.05611,3,normal,0.00000,0.00000,0.00000,
5.05802,3,normal,0.00000,0.00000,0.00000,
5.05981,3,normal,0.00000,0.00000,0.00000,
