Right,ShoulderPos:(-0.01, 0.63, 0.02),Plane:XZ,Radius:0.35
0.00000,1,normal,0.00000,0.00000,0.00000,
0.00546,1,normal,0.00000,0.00000,0.00000,
0.01097,1,normal,0.00000,0.00000,0.00000,
0.01502,1,normal,0.00000,0.00000,0.00000,
0.01888,1,normal,0.00000,0.00000,0.00000,
0.02250,1,normal,0.00000,0.00000,0.00000,
0.02623,1,normal,0.00000,0.00000,0.00000,
0.03066,1,normal,0.00000,0.00000,0.00000,
0.03431,1,normal,0.00000,0.00000,0.00000,
0.03792,1,normal,0.00000,0.00000,0.00000,
0.04165,1,normal,0.00000,0.00000,0.00000,
0.04557,1,normal,0.00000,0.00000,0.00000,
0.05002,1,normal,0.00000,0.00000,0.00000,
0.05357,1,normal,0.00000,0.00000,0.00000,
0.05711,1,normal,0.00000,0.00000,0.00000,
0.06138,1,normal,0.00000,0.00000,0.00000,
0.06508,1,normal,0.00000,0.00000,0.00000,
0.06911,1,normal,0.00000,0.00000,0.00000,
0.07269,1,normal,0.00000,0.00000,0.00000,
0.07735,1,normal,0.00000,0.00000,0.00000,
0.08202,1,normal,0.00000,0.00000,0.00000,
0.08587,1,normal,0.00000,0.00000,0.00000,
0.09015,1,normal,0.00000,0.00000,0.00000,
0.09370,1,normal,0.00000,0.00000,0.00000,
0.09750,1,normal,0.00000,0.00000,0.00000,
0.10083,1,normal,0.00000,0.00000,0.00000,
0.10439,1,normal,0.00000,0.00000,0.00000,
0.10832,1,normal,0.00000,0.00000,0.00000,
0.11171,1,normal,0.00000,0.00000,0.00000,
0.11502,1,normal,0.00000,0.00000,0.00000,
0.11835,1,normal,0.00000,0.00000,0.00000,
0.12191,1,normal,0.00000,0.00000,0.00000,
0.12533,1,normal,0.00000,0.00000,0.00000,
0.12914,1,normal,0.00000,0.00000,0.00000,
0.13256,1,normal,0.00000,0.00000,0.00000,
0.13599,1,normal,0.00000,0.00000,0.00000,
0.13921,1,normal,0.00000,0.00000,0.00000,
0.14242,1,normal,0.00000,0.00000,0.00000,
0.14567,1,normal,0.00000,0.00000,0.00000,
0.14931,1,normal,0.00000,0.00000,0.00000,
0.15249,1,normal,0.00000,0.00000,0.00000,
0.15573,1,normal,0.00000,0.00000,0.00000,
0.15881,1,normal,0.00000,0.00000,0.00000,
0.16192,1,normal,0.00000,0.00000,0.00000,
0.17302,1,normal,0.00000,0.00000,0.00000,
0.17853,1,normal,0.00000,0.00000,0.00000,
0.18220,1,normal,0.00000,0.00000,0.00000,
0.18551,1,normal,0.00000,0.00000,0.00000,
0.18917,1,normal,0.00000,0.00000,0.00000,
0.19231,1,normal,0.00000,0.00000,0.00000,
0.19556,1,normal,0.00000,0.00000,0.00000,
0.19880,1,normal,0.00000,0.00000,0.00000,
0.20203,1,normal,0.00000,0.00000,0.00000,
0.20531,1,normal,0.00000,0.00000,0.00000,
0.20899,1,normal,0.00000,0.00000,0.00000,
0.21252,1,normal,0.00000,0.00000,0.00000,
0.21601,1,normal,0.00000,0.00000,0.00000,
0.21949,1,normal,0.00000,0.00000,0.00000,
0.22299,1,normal,0.00000,0.00000,0.00000,
0.22621,1,normal,0.00000,0.00000,0.00000,
0.23019,1,normal,0.00000,0.00000,0.00000,
0.23374,1,normal,0.00000,0.00000,0.00000,
0.23708,1,normal,0.00000,0.00000,0.00000,
0.24063,1,normal,0.00000,0.00000,0.00000,
0.24403,1,normal,0.00000,0.00000,0.00000,
0.24796,1,normal,0.00000,0.00000,0.00000,
0.25142,1,normal,0.00000,0.00000,0.00000,
0.25484,1,normal,0.00000,0.00000,0.00000,
0.25842,1,normal,0.00000,0.00000,0.00000,
0.26165,1,normal,0.00000,0.00000,0.00000,
0.26494,1,normal,0.00000,0.00000,0.00000,
0.26862,1,normal,0.00000,0.00000,0.00000,
0.27219,1,normal,0.00000,0.00000,0.00000,
0.27554,1,normal,0.00000,0.00000,0.00000,
0.27891,1,normal,0.00000,0.00000,0.00000,
0.28253,1,normal,0.00000,0.00000,0.00000,
0.28621,1,normal,0.00000,0.00000,0.00000,
0.29022,1,normal,0.00000,0.00000,0.00000,
0.29360,1,normal,0.00000,0.00000,0.00000,
0.29719,1,normal,0.00000,0.00000,0.00000,
0.30053,1,normal,0.00000,0.00000,0.00000,
0.30401,1,normal,0.00000,0.00000,0.00000,
0.30804,1,normal,0.00000,0.00000,0.00000,
0.31145,1,normal,0.00000,0.00000,0.00000,
0.31493,1,normal,0.00000,0.00000,0.00000,
0.31835,1,normal,0.00000,0.00000,0.00000,
