Left,ShoulderPos:(0.09, 0.20, -0.34),Plane:XZ,Radius:0.25
0.00000,3,normal,-0.00176,0.00947,0.01260,
0.00757,3,normal,-0.00176,0.00947,0.01261,
0.01727,3,normal,-0.00199,0.00950,0.01264,
0.04211,3,normal,-0.00204,0.00952,0.01267,
0.06641,3,normal,-0.00202,0.00952,0.01268,
0.09686,3,normal,-0.00198,0.00951,0.01273,
0.11975,3,normal,-0.00197,0.00950,0.01277,
0.12766,3,normal,-0.00196,0.00949,0.01278,
0.13593,3,normal,-0.00194,0.00948,0.01282,
0.14471,3,normal,-0.00193,0.00948,0.01282,
0.15298,3,normal,-0.00193,0.00948,0.01282,
0.16165,3,normal,-0.00194,0.00952,0.01286,
0.17062,3,normal,-0.00188,0.00954,0.01288,
0.19760,3,normal,-0.00186,0.00955,0.01287,
0.20718,3,normal,-0.00186,0.00955,0.01287,
0.21610,3,normal,-0.00180,0.00955,0.01285,
0.22394,3,normal,-0.00180,0.00955,0.01285,
0.23315,3,normal,-0.00180,0.00955,0.01285,
0.24075,3,normal,-0.00159,0.00961,0.01291,
0.24844,3,normal,-0.00158,0.00961,0.01291,
0.25595,3,normal,-0.00148,0.00967,0.01298,
0.26349,3,normal,-0.00148,0.00967,0.01299,
0.27188,3,normal,-0.00148,0.00967,0.01299,
0.28091,3,normal,-0.00141,0.00980,0.01313,
0.28882,3,normal,-0.00141,0.00980,0.01314,
0.29675,3,normal,-0.00141,0.00982,0.01318,
0.30469,3,normal,-0.00141,0.00982,0.01318,
0.31464,3,normal,-0.00135,0.01000,0.01325,
0.32507,3,normal,-0.00133,0.01006,0.01331,
0.34946,3,normal,-0.00133,0.01006,0.01332,
0.35776,3,normal,-0.00115,0.01021,0.01334,
0.36569,3,normal,-0.00114,0.01022,0.01335,
0.37454,3,normal,-0.00109,0.01023,0.01335,
0.38385,3,normal,-0.00109,0.01023,0.01335,
0.40024,3,normal,-0.00106,0.01024,0.01341,
0.41376,3,normal,-0.00107,0.01024,0.01342,
0.42416,3,normal,-0.00107,0.01024,0.01342,
0.43539,3,normal,-0.00112,0.01024,0.01344,
0.44766,3,normal,-0.00111,0.01024,0.01344,
0.46121,3,normal,-0.00112,0.01020,0.01343,
0.47119,3,normal,-0.00108,0.01012,0.01344,
0.48297,3,normal,-0.00100,0.01005,0.01347,
0.51209,3,normal,-0.00100,0.01004,0.01348,
0.52167,3,normal,-0.00084,0.01009,0.01351,
0.53278,3,normal,-0.00077,0.01008,0.01357,
0.54309,3,normal,-0.00077,0.01007,0.01358,
0.55396,3,normal,-0.00065,0.01014,0.01359,
0.56522,3,normal,-0.00064,0.01014,0.01359,
0.57617,3,normal,-0.00059,0.01018,0.01359,
0.58481,3,normal,-0.00059,0.01018,0.01359,
0.59369,3,normal,-0.00040,0.01026,0.01376,
0.60208,3,normal,-0.00039,0.01026,0.01377,
0.61005,3,normal,-0.00039,0.01026,0.01377,
0.61887,3,normal,-0.00025,0.01033,0.01387,
0.63000,3,normal,-0.00024,0.01036,0.01387,
0.64276,3,normal,-0.00018,0.01040,0.01386,
0.66879,3,normal,-0.00017,0.01041,0.01386,
0.67694,3,normal,-0.00017,0.01041,0.01386,
0.68613,3,normal,-0.00017,0.01041,0.01386,
0.69409,3,normal,-0.00017,0.01041,0.01386,
0.70160,3,normal,-0.00027,0.01037,0.01387,
0.70966,3,normal,-0.00026,0.01036,0.01388,
0.71829,3,normal,-0.00034,0.01033,0.01389,
0.72626,3,normal,-0.00034,0.01033,0.01389,
0.73459,3,normal,-0.00046,0.01031,0.01387,
0.74261,3,normal,-0.00046,0.01031,0.01387,
0.75244,3,normal,-0.00046,0.01031,0.01387,
0.76022,3,normal,-0.00063,0.01036,0.01382,
0.76813,3,normal,-0.00062,0.01037,0.01382,
0.77664,3,normal,-0.00081,0.01037,0.01379,
0.78461,3,normal,-0.00082,0.01037,0.01379,
0.79334,3,normal,-0.00119,0.01042,0.01377,
0.81631,3,normal,-0.00129,0.01044,0.01377,
0.82379,3,normal,-0.00128,0.01043,0.01378,
0.83203,3,normal,-0.00128,0.01043,0.01378,
0.83987,3,normal,-0.00142,0.01047,0.01368,
0.84753,3,normal,-0.00141,0.01047,0.01368,
0.85593,3,normal,-0.00151,0.01044,0.01364,
0.86377,3,normal,-0.00151,0.01044,0.01363,
0.87213,3,normal,-0.00151,0.01044,0.01363,
0.88055,3,normal,-0.00154,0.01046,0.01360,
0.88864,3,normal,-0.00154,0.01047,0.01360,
0.89685,3,normal,-0.00142,0.01043,0.01360,
0.90433,3,normal,-0.00141,0.01042,0.01360,
0.91357,3,normal,-0.00141,0.01042,0.01361,
0.92130,3,normal,-0.00122,0.01033,0.01363,
0.92944,3,normal,-0.00121,0.01032,0.01363,
0.93796,3,normal,-0.00105,0.01025,0.01368,
0.94647,3,normal,-0.00067,0.01020,0.01359,
0.97528,3,normal,-0.00059,0.01021,0.01359,
