Left,ShoulderPos:(-0.02, 0.14, -0.44),Plane:XZ,Radius:0.25
0.00000,1,fast,0.00557,0.00217,0.00182,
0.01379,1,fast,0.00571,0.00210,0.00181,
0.03650,1,fast,0.00572,0.00210,0.00181,
0.05150,1,fast,0.00576,0.00207,0.00181,
0.05844,1,fast,0.00577,0.00207,0.00181,
0.06705,1,fast,0.00577,0.00207,0.00180,
0.07460,1,fast,0.00577,0.00207,0.00180,
0.08275,1,fast,0.00577,0.00206,0.00181,
0.09961,1,fast,0.00577,0.00206,0.00181,
0.11517,1,fast,0.00577,0.00206,0.00181,
0.12231,1,fast,0.00577,0.00206,0.00181,
0.13023,1,fast,0.00584,0.00206,0.00180,
0.13809,1,fast,0.00585,0.00206,0.00180,
0.14650,1,fast,0.00592,0.00209,0.00181,
0.15352,1,fast,0.00593,0.00209,0.00181,
0.16216,1,fast,0.00593,0.00209,0.00181,
0.17044,1,fast,0.00594,0.00209,0.00181,
0.17786,1,fast,0.00594,0.00209,0.00181,
0.18546,1,fast,0.00607,0.00212,0.00182,
0.19347,1,fast,0.00608,0.00212,0.00182,
0.20084,1,fast,0.00608,0.00212,0.00182,
0.20830,1,fast,0.00622,0.00217,0.00180,
0.21574,1,fast,0.00623,0.00218,0.00180,
0.22412,1,fast,0.00631,0.00222,0.00178,
0.23351,1,fast,0.00631,0.00222,0.00178,
0.24265,1,fast,0.00631,0.00222,0.00178,
0.25117,1,fast,0.00655,0.00219,0.00181,
0.26097,1,fast,0.00657,0.00218,0.00182,
0.26997,1,fast,0.00662,0.00221,0.00185,
0.27977,1,fast,0.00662,0.00221,0.00186,
0.28929,1,fast,0.00673,0.00229,0.00185,
0.29874,1,fast,0.00674,0.00229,0.00186,
0.30878,1,fast,0.00693,0.00244,0.00188,
0.31668,1,fast,0.00694,0.00244,0.00189,
0.32521,1,fast,0.00710,0.00257,0.00195,
0.33667,1,fast,0.00710,0.00257,0.00196,
0.34566,1,fast,0.00733,0.00264,0.00195,
0.35399,1,fast,0.00735,0.00264,0.00195,
0.36449,1,fast,0.00735,0.00264,0.00195,
0.37263,1,fast,0.00742,0.00273,0.00212,
0.38057,1,fast,0.00742,0.00271,0.00215,
0.38864,1,fast,0.00767,0.00300,0.00218,
0.39745,1,fast,0.00769,0.00301,0.00219,
0.40604,1,fast,0.00781,0.00327,0.00227,
0.41486,1,fast,0.00781,0.00327,0.00228,
0.42281,1,fast,0.00781,0.00327,0.00229,
0.43073,1,fast,0.00792,0.00354,0.00238,
0.43805,1,fast,0.00791,0.00354,0.00240,
0.44592,1,fast,0.00790,0.00373,0.00245,
0.45345,1,fast,0.00789,0.00374,0.00246,
0.46123,1,fast,0.00789,0.00374,0.00246,
0.46881,1,fast,0.00794,0.00385,0.00242,
0.47646,1,fast,0.00794,0.00386,0.00242,
0.48428,1,fast,0.00794,0.00386,0.00242,
0.49265,1,fast,0.00789,0.00392,0.00249,
0.50092,1,fast,0.00788,0.00392,0.00250,
0.51126,1,fast,0.00775,0.00401,0.00262,
0.51852,1,fast,0.00775,0.00401,0.00264,
0.52748,1,fast,0.00768,0.00408,0.00273,
0.53850,1,fast,0.00767,0.00408,0.00275,
0.55112,1,fast,0.00760,0.00418,0.00275,
0.56052,1,fast,0.00760,0.00418,0.00276,
0.57031,1,fast,0.00746,0.00427,0.00279,
0.57765,1,fast,0.00746,0.00427,0.00279,
0.58482,1,fast,0.00746,0.00427,0.00279,
0.59195,1,fast,0.00728,0.00435,0.00283,
0.59914,1,fast,0.00728,0.00435,0.00283,
0.60675,1,fast,0.00721,0.00438,0.00283,
0.61404,1,fast,0.00722,0.00439,0.00283,
0.62192,1,fast,0.00709,0.00443,0.00286,
0.63510,1,fast,0.00711,0.00443,0.00286,
0.64281,1,fast,0.00711,0.00443,0.00286,
0.64995,1,fast,0.00706,0.00443,0.00282,
0.65785,1,fast,0.00706,0.00443,0.00282,
0.66574,1,fast,0.00699,0.00441,0.00274,
0.67468,1,fast,0.00699,0.00442,0.00273,
0.68262,1,fast,0.00699,0.00442,0.00273,
0.69099,1,fast,0.00704,0.00430,0.00275,
0.69894,1,fast,0.00705,0.00429,0.00275,
0.70781,1,fast,0.00708,0.00419,0.00277,
0.71565,1,fast,0.00709,0.00418,0.00278,
0.72479,1,fast,0.00710,0.00416,0.00278,
0.73489,1,fast,0.00710,0.00416,0.00278,
0.74341,1,fast,0.00710,0.00416,0.00278,
0.75049,1,fast,0.00705,0.00414,0.00273,
0.75775,1,fast,0.00705,0.00414,0.00272,
0.76537,1,fast,0.00705,0.00414,0.00272,
0.77284,1,fast,0.00714,0.00401,0.00275,
0.78064,1,fast,0.00714,0.00400,0.00275,
0.78873,1,fast,0.00714,0.00400,0.00275,
0.79655,1,fast,0.00714,0.00400,0.00275,
0.80408,1,fast,0.00714,0.00400,0.00275,
0.81125,1,fast,0.00692,0.00396,0.00258,
0.81946,1,fast,0.00691,0.00397,0.00256,
