1.52017,0.55340,2.81984,1.57080,
2.01790,0.49497,2.35619,1.57080,
2.27342,0.39131,2.03444,1.57080,
4.83312,0.52500,3.14159,1.57080,
5.24011,0.55340,3.46334,1.57080,
6.07785,0.42866,3.60524,1.99133,
6.47226,0.39131,3.14159,2.03444,
7.19786,0.35000,3.14159,1.57080,
8.75960,0.24749,2.35619,1.57080,
8.79347,0.30311,2.35619,2.18628,
9.39230,0.39131,2.67795,1.57080,
10.38242,0.52500,2.35619,1.23096,
11.81824,0.58041,2.81984,1.26452,
13.85715,0.42866,2.03444,1.15026,
21.27116,0.30311,2.35619,0.95532,
23.16522,0.42866,2.67795,1.15026,
25.19582,0.17500,1.57080,1.57080,
26.05016,0.35000,1.57080,1.57080,
26.29285,0.39131,1.57080,1.10715,
40.09961,0.63097,2.55359,1.57080,
40.39757,0.55340,1.89255,1.57080,
40.65034,0.52500,1.57080,1.57080,
41.83530,0.60622,2.35619,0.95532,
42.14095,0.52500,2.67795,0.84107,
43.67741,0.24749,1.57080,0.78540,
45.63277,0.30311,0.78540,0.95532,
46.23666,0.39131,0.46365,1.57080,
46.71231,0.52500,0.78540,1.23096,
47.00093,0.42866,1.10715,1.15026,
47.63615,0.49497,0.78540,1.57080,
48.03979,0.63097,0.98279,1.57080,
48.21243,0.58041,1.24905,1.26452,
48.39885,0.55340,1.57080,1.24905,
48.75337,0.58041,1.89255,1.26452,
48.99049,0.65479,2.15880,1.30025,
53.11798,0.55340,3.14159,1.24905,
54.99437,0.49497,3.14159,0.78540,
55.88625,0.39131,3.14159,0.46365,
56.07671,0.42866,2.35619,0.61548,
56.15994,0.39131,1.57080,0.46365,
57.51479,0.52500,2.03444,0.84107,
57.67375,0.49497,1.57080,0.78540,
59.05405,0.35000,0.78540,0.00000,
62.21552,0.39131,3.14159,1.10715,
64.27531,0.39131,3.60524,1.57080,
64.54976,0.49497,3.92699,1.57080,
64.57782,0.52500,3.92699,1.91063,
66.37431,0.30311,0.78540,2.18628,
66.55882,0.39131,1.10715,1.57080,
67.17921,0.17500,0.78540,0.00000,
Untouched:
(0.65, 3.46, 2.13)
(0.63, 3.14, 2.16)
(0.65, 2.82, 2.13)
(0.65, 3.73, 1.84)
(0.58, 3.46, 1.88)
(0.55, 3.14, 1.89)
(0.58, 2.82, 1.88)
(0.65, 2.55, 1.84)
(0.63, 3.73, 1.57)
(0.65, 3.73, 1.30)
(0.58, 3.46, 1.26)
(0.65, 2.55, 1.30)
(0.65, 3.46, 1.01)
(0.63, 3.14, 0.98)
(0.65, 2.82, 1.01)
(0.65, 3.61, 2.50)
(0.63, 3.14, 2.55)
(0.65, 2.68, 2.50)
(0.61, 3.93, 2.19)
(0.52, 3.61, 2.30)
(0.49, 3.14, 2.36)
(0.53, 2.68, 2.30)
(0.61, 2.36, 2.19)
(0.65, 4.12, 1.84)
(0.43, 2.68, 1.99)
(0.53, 2.36, 1.91)
(0.65, 2.16, 1.84)
(0.63, 4.12, 1.57)
(0.63, 2.16, 1.57)
(0.65, 4.12, 1.30)
(0.53, 3.93, 1.23)
(0.43, 3.61, 1.15)
(0.61, 3.93, 0.96)
(0.53, 3.61, 0.84)
(0.65, 3.61, 0.64)
(0.63, 3.14, 0.59)
(0.65, 2.68, 0.64)
(0.65, 4.25, 2.50)
(0.58, 3.93, 2.70)
(0.55, 3.14, 2.82)
(0.58, 2.36, 2.70)
(0.65, 2.03, 2.50)
(0.65, 4.39, 2.13)
(0.52, 4.25, 2.30)
(0.43, 3.93, 2.53)
(0.39, 3.14, 2.68)
(0.43, 2.36, 2.53)
(0.53, 2.03, 2.30)
(0.65, 1.89, 2.13)
(0.58, 4.39, 1.88)
(0.43, 4.25, 1.99)
(0.30, 3.93, 2.19)
(0.25, 3.14, 2.36)
(0.43, 2.03, 1.99)
(0.58, 1.89, 1.88)
(0.55, 4.39, 1.57)
(0.39, 4.25, 1.57)
(0.25, 3.93, 1.57)
(0.18, 3.14, 1.57)
(0.58, 4.39, 1.26)
(0.43, 4.25, 1.15)
(0.30, 3.93, 0.96)
(0.25, 3.14, 0.79)
(0.65, 4.39, 1.01)
(0.53, 4.25, 0.84)
(0.43, 3.93, 0.62)
(0.65, 1.89, 1.01)
(0.65, 4.25, 0.64)
(0.58, 3.93, 0.44)
(0.55, 3.14, 0.32)
(0.58, 2.36, 0.44)
(0.65, 2.03, 0.64)
(0.70, 0.79, 3.14)
(0.63, -1.57, 2.55)
(0.55, -1.57, 2.82)
(0.53, 0.79, 3.14)
(0.55, 1.57, 2.82)
(0.63, 1.57, 2.55)
(0.63, -1.57, 2.16)
(0.49, -1.57, 2.36)
(0.39, -1.57, 2.68)
(0.35, 0.79, 3.14)
(0.39, 1.57, 2.68)
(0.49, 1.57, 2.36)
(0.63, 1.57, 2.16)
(0.55, -1.57, 1.89)
(0.39, -1.57, 2.03)
(0.25, -1.57, 2.36)
(0.18, 0.79, 3.14)
(0.25, 1.57, 2.36)
(0.39, 1.57, 2.03)
(0.55, 1.57, 1.89)
(0.70, -1.57, 1.57)
(0.53, -1.57, 1.57)
(0.35, -1.57, 1.57)
(0.18, -1.57, 1.57)
(0.00, 0.79, 0.96)
(0.55, -1.57, 1.25)
(0.39, -1.57, 1.11)
(0.25, -1.57, 0.79)
(0.63, -1.57, 0.98)
(0.49, -1.57, 0.79)
(0.39, -1.57, 0.46)
(0.63, 1.57, 0.98)
(0.63, -1.57, 0.59)
(0.55, -1.57, 0.32)
(0.53, 0.79, 0.00)
(0.55, 1.57, 0.32)
(0.63, 1.57, 0.59)
(0.65, -1.11, 2.50)
(0.58, -0.79, 2.70)
(0.55, 0.00, 2.82)
(0.58, 0.79, 2.70)
(0.65, 1.11, 2.50)
(0.65, -1.25, 2.13)
(0.53, -1.11, 2.30)
(0.43, -0.79, 2.53)
(0.39, 0.00, 2.68)
(0.43, 0.79, 2.53)
(0.53, 1.11, 2.30)
(0.65, 1.25, 2.13)
(0.58, -1.25, 1.88)
(0.43, -1.11, 1.99)
(0.30, -0.79, 2.19)
(0.25, 0.00, 2.36)
(0.43, 1.11, 1.99)
(0.58, 1.25, 1.88)
(0.55, -1.25, 1.57)
(0.39, -1.11, 1.57)
(0.25, -0.79, 1.57)
(0.18, 0.00, 1.57)
(0.25, 0.79, 1.57)
(0.55, 1.25, 1.57)
(0.58, -1.25, 1.26)
(0.43, -1.11, 1.15)
(0.30, -0.79, 0.96)
(0.25, 0.00, 0.79)
(0.65, -1.25, 1.01)
(0.53, -1.11, 0.84)
(0.43, -0.79, 0.62)
(0.39, 0.00, 0.46)
(0.43, 0.79, 0.62)
(0.53, 1.11, 0.84)
(0.65, 1.25, 1.01)
(0.65, -1.11, 0.64)
(0.58, -0.79, 0.44)
(0.55, 0.00, 0.32)
(0.58, 0.79, 0.44)
(0.65, 1.11, 0.64)
(0.65, -0.46, 2.50)
(0.63, 0.00, 2.55)
(0.65, 0.46, 2.50)
(0.61, -0.79, 2.19)
(0.53, -0.46, 2.30)
(0.49, 0.00, 2.36)
(0.53, 0.46, 2.30)
(0.61, 0.79, 2.19)
(0.65, -0.98, 1.84)
(0.53, -0.79, 1.91)
(0.43, -0.46, 1.99)
(0.39, 0.00, 2.03)
(0.43, 0.46, 1.99)
(0.53, 0.79, 1.91)
(0.65, 0.98, 1.84)
(0.63, -0.98, 1.57)
(0.49, -0.79, 1.57)
(0.39, -0.46, 1.57)
(0.35, 0.00, 1.57)
(0.65, -0.98, 1.30)
(0.53, -0.79, 1.23)
(0.43, -0.46, 1.15)
(0.39, 0.00, 1.11)
(0.43, 0.46, 1.15)
(0.65, 0.98, 1.30)
(0.61, -0.79, 0.96)
